# Format: Title,GENRE,Seasons,Year,Rating,Director,Actor1;Actor2;...

Breaking Bad,CRIME,5,2008,9.5,Vince Gilligan,Bryan Cranston;Aaron Paul;Anna Gunn
Game of Thrones,FANTASY,8,2011,9.3,David Benioff;D.B. Weiss,Emilia Clarke;Kit Harington
Stranger Things,SCI_FI,4,2016,8.7,Matt Duffer;Ross Duffer,Millie Bobby Brown;Finn Wolfhard
The Crown,DRAMA,5,2016,8.7,Peter Morgan,Olivia Colman;Claire Foy
The Mandalorian,SCI_FI,3,2019,8.7,Jon Favreau,Pedro Pascal;Gina Carano
The Witcher,FANTASY,2,2019,8.2,Lauren Schmidt Hissrich,Henry Cavill;Anya Chalotra
Squid Game,THRILLER,1,2021,8.0,Hwang Dong-hyuk,Lee Jung-jae;Jung Ho-yeon
Yellowstone,DRAMA,5,2018,8.7,Taylor Sheridan,Kevin Costner;Luke Grimes
The Bear,COMEDY,2,2022,8.4,Christopher Storer,Jeremy Allen White;Ebon Moss-Bachrach
Wednesday,COMEDY,1,2022,8.2,Alfred Gough;Miles Millar,Jenna Ortega;Gwendoline Christie
The Boys,ACTION,4,2019,8.7,Eric Kripke,Karl Urban;Jack Quaid
Euphoria,DRAMA,2,2019,8.4,Sam Levinson,Zendaya;Hunter Schafer
 Lindelof;Jeffrey Lieber,Matthew Fox;Jorge Garcia
